a,啊,1
dzcg,都曾,1
dzd,斗,1
dzdc,多姿多彩,1
dzdi,兜底,1
dzdj,斗胆,1
dzdn,多灾多难,1
dzds,抖动,1
dzdu,斗,1
dzdz,豆豆,1
dze,陡,1
dzee,窦娥,1
dzem,抵足而眠,1
dzer,陡,1
dzf,抖,1
dzfa,斗法,1
dzff,豆粉,1
dzfg,兜风,1
dzfl,弟子服其劳,1
dzfu,豆腐,1
dzfu,抖,2
dzg,都给,1
dzgf,逗哏,1
dzgg,刁钻古怪,1
dzgk,都怪,1
dzgv,待字闺中,1
dzgw,都给,1
dzh,大杂烩,1
dzhc,逗号,1
dzhf,都很,1
dzhv,都会,1
dzhx,豆花,1
dzi,蚪,1
dzii,豆豉,1
dziu,蚪,1
dzj,钭,1
dzji,打字机,1
dzjl,豆浆,1
dzjn,豆角,1
dzjs,断子绝孙,1
dzju,钭,1
dzjx,达则兼济天下,1
dzk,丁字裤,1
dzkb,刁钻刻薄,1
dzke,都可,1
dzkk,都快,1
dzku,唞,1
dzkz,豆蔻,1
dzl,肚子里,1
dzle,逗乐,1
dzle,都,2
dzlg,戴罪立功,1
dzli,兜里,1
dzli,斗笠,2
dzll,鬥,1
dzlo,抖落,1
dzlq,逗留,1
dzlw,豆类,1
dzm,都没,1
dzmn,豆苗,1
dzmw,都没,1
dzn,都能,1
dznd,豆奶,1
dzng,都能,1
dznq,斗牛,1
dzo,斗殴,1
dzou,斗殴,1
dzp,兜,1
dzpe,兜,1
dzpg,斗篷,1
dzpm,动作片,1
dzpo,陡坡,1
dzq,打砸抢,1
dzqi,斗气,1
dzql,打砸抢,1
dzqn,陡峭,1
dzqr,兜圈,1
dzqu,都去,1
dzr,陡然,1
dzrf,逗人,1
dzrj,陡然,1
dzs,抖擞,1
dzsf,鼎足三分,1
dzsz,抖擞,1
dzu,都是,1
dzua,豆沙,1
dzui,都是,1
dzuo,都说,1
dzuw,电子商务,1
dzuz,兜售,1
dzv,篼,1
dzve,篼,1
dzvg,斗争,1
dzvh,打嘴仗,1
dzvi,斗志,1
dzvu,鼎足之势,1
dzw,都在玩,1
dzwv,大做文章,1
dzx,都行,1
dzxk,都行,1
dzxl,都想,1
dzxn,逗笑,1
dzy,打字员,1
dzya,豆芽,1
dzyc,都要,1
dzyd,读,1
dzyr,独自一人,1
dzys,都用,1
dzyx,电子邮箱,1
dzyz,都有,1
dzz,逗,1
dzza,逗,1
dzzd,都在,1
dzzg,陡增,1
dzzi,豆子,1
dzzv,斗嘴,1
dzzx,刀子嘴豆腐心,1
e,二,1
e,嗯,2
e,嗯嗯,3
ea,恩爱,1
eb,而不,1
ebe,饿不饿,1
ebee,饿不饿,1
ebf,耳边风,1
ebfg,耳边风,1
ebh,而不会,1
ebhk,耳鼻喉科,1
ebhv,而不会,1
ebhz,耳鼻喉,1
ebjr,二八佳人,1
ebl,饿扁了,1
eble,饿扁了,1
ebn,而不能,1
ebng,而不能,1
ebq,而不去,1
ebqu,而不去,1
ebs,饿不死,1
ebsi,饿不死,1
ebsm,耳鬓厮磨,1
ebu,而不是,1
ebui,而不是,1
ebw,二百五,1
ebwu,二百五,1
ebx,儿不嫌母丑，狗不嫌家贫,1
ebxp,儿不嫌母丑，狗不嫌家贫,1
eby,而不用,1
ebys,而不用,1
ec,恩赐,1
ecmm,耳聪目明,1
ecy,二次元,1
ed,恶毒,1
edb,儿大不由娘,1
edbn,儿大不由娘,1
edj,二等奖,1
edjl,二等奖,1
edyj,恩断义绝,1
edz,饿肚子,1
ee,额,1
ee,阿褔,2
eea,鳄,1
eeaa,恩恩爱爱,1
eeak,鳄,1
eeb,额,1
eeba,恶霸,1
eebc,恶报,1
eebr,额,1
eebu,恶补,1
eec,萼,1
eeck,萼,1
eecv,苊,1
eecw,莪,1
eed,额度,1
eedj,鹅蛋,1
eedk,额定,1
eeds,鄂尔多斯,1
eedu,额度,1
eedu,恶毒,2
eedw,涐,1
eedz,恶斗,1
eee,峨,1
eeek,阿,1
eeek,崿,2
eeew,峨,1
eef,扼,1
eefv,扼,1
eeg,恶搞,1
eegc,恶搞,1
eego,恶果,1
eegv,恶鬼,1
eegy,恶棍,1
eegz,恶狗,1
eeh,恶化,1
eehc,噩耗,1
eehl,鹅黄,1
eehx,恶化,1
eei,厄,1
eeiv,轭,1
eeiv,厄,2
eeiw,蛾,1
eeiz,恶臭,1
eej,锷,1
eeji,恶疾,1
eejk,锷,1
eejn,阿胶,1
eejw,锇,1
eek,呃,1
eeke,鄂,1
eekn,鹗,1
eekr,颚,1
eekv,呃,1
