a,啊,1
aa,阿,1
aaj,锕,1
aak,吖,1
aakk,啊,1
aakw,嗄,1
aao,腌,1
ah,昂,1
aho,肮,1
ahp,卬,1
ahy,盎,1
ai,爱,1
aib,癌,1
aibj,皑,1
aic,艾,1
aicv,蔼,1
aie,隘,1
aiey,叆,1
aif,挨,1
aij,锿,1
aik,唉,1
aikm,嗌,1
aikx,哎,1
aiky,嗳,1
ain,嫒,1
aio,暧,1
ais,欸,1
ait,埃,1
aiu,矮,1
aiua,毐,1
aiuc,碍,1
aiux,砹,1
aiw,哀,1
aiwy,瑷,1
aiy,霭,1
an,安,1
anb,案,1
and,鹌,1
ane,岸,1
anf,按,1
ang,庵,1
angn,鞍,1
anh,黯,1
anj,铵,1
ank,唵,1
anm,桉,1
ano,暗,1
anon,胺,1
anq,氨,1
anqg,犴,1
anr,俺,1
anrm,盦,1
ant,埯,1
antn,垵,1
any,谙,1
ao,奥,1
aoa,奡,1
aob,翱,1
aod,澳,1
aoe,隩,1
aof,熬,1
aofa,鳌,1
aofe,聱,1
aofi,螯,1
aofj,鏊,1
aofl,拗,1
aofm,骜,1
aofq,獒,1
aofw,敖,1
aog,鏖,1
aogw,廒,1
aok,嗷,1
aol,凹,1
aon,媪,1
aop,袄,1
aor,傲,1
aot,坳,1
aow,璈,1
aox,懊,1
aoy,岙,1
aoz,遨,1
b,不,1
ba,吧,1
baa,鲅,1
baab,鲃,1
bab,爸,1
babb,疤,1
bac,芭,1
bacd,菝,1
bad,灞,1
bae,岜,1
baf,把,1
bafb,扒,1
bafd,捌,1
bag,靶,1
bagd,魃,1
baib,蚆,1
baj,钯,1
bakb,叭,1
bal,耙,1
bam,粑,1
bamb,朳,1
ban,妭,1
bao,胈,1
bap,八,1
bas,罢,1
basl,巴,1
bat,坝,1
bavb,笆,1
bay,霸,1
bayb,羓,1
baz,跋,1
bb,滨,1
bba,鬓,1
bbb,宾,1
bbbe,邠,1
bbd,殡,1
bbdr,濒,1
bbe,豳,1
bbf,摈,1
bbg,髌,1
bbj,镔,1
bbm,彬,1
bbmb,槟,1
bbo,膑,1
bbr,傧,1
bbs,缤,1
bbw,斌,1
bbwd,玢,1
bc,报,1
bca,鲍,1
bcb,包,1
bcbd,刨,1
bcby,宝,1
bcc,薄,1
bccm,葆,1
bccs,苞,1
bcd,瀑,1
bce,剥,1
bcf,抱,1
bch,爆,1
bchs,炮,1
bcms,枹,1
bco,暴,1
bcos,胞,1
bcou,曝,1
bcp,褓,1
bcr,保,1
bcrh,煲,1
